participantId,uiType,comment
P01,baseline,Instructions could have been more clear. I didn’t know what to do really. There were no instructions.
P02,optimized,Guidance trough the photo taking process was fluent and easy to understand. Alignments made it clear what to do. Clear instructions.
P03,baseline,No clear instructions on how to take photo. Try and error was required until i had compliant photo.
P04,optimized,Well designed guidance. Overlays were very helpful. And instructions clear.
P05,baseline,No instructions at all. Only if photo compliant or not. Multiple try’s were needed until compliant photo was achieved.
P06,optimized,Helpful guidance.
P07,baseline,No guidance at all. Frustrating if photo gets rejected multiple times but i dont know why.
P08,optimized,"Good guidance, fixed quickly after one mistake."
P09,baseline,Without guidance very hard to achieve a compliant photo.
P10,optimized,Minor adjustment needed but overall very easy.
P11,optimized,"Very smooth, only slight lighting adjustment needed."
P13,optimized,"Clear instructions, well designed."
P14,baseline,No instructions. It’s hard to achieve a compliant photo with no help.
P15,baseline,Very frustrating. I didn’t know what to fix after errors.
P16,optimized,Very intuitive. Fixed the issue quickly.
P17,baseline,Needed multiple tries. No clear feedback why it failed.
P18,optimized,Perfect guidance. Very easy to complete.
